@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
1,'2022/08/22 14:02:39:946',1,-83.13533,60.279369,26.995991,6.787356,-22.303753,20.733807,-5.092738,0.728881,9.73202,-12.230533,-1.443438,-11.493084,-10.599174,-6.903351,-2.519404,11.932907,-2.073348,3.049356,1.596669,-1.541309,-4.116445,-8.52212,-8.414635,4.891469,4.724987,-3.280534,1
2,'2022/08/22 14:02:39:965',1,-79.894814,63.147457,29.455616,0.850664,-26.913164,21.924465,0.251509,0.538475,9.330829,-14.535274,-5.311866,-14.742164,-9.802356,1.434502,1.399884,8.750885,-7.468455,0.56245,4.551756,-0.59026,-3.059551,-9.575144,-7.463088,4.495928,3.113373,1.446359,1
3,'2022/08/22 14:02:39:966',1,-79.894814,63.147457,29.455616,0.850664,-26.913164,21.924465,0.251509,0.538475,9.330829,-14.535274,-5.311866,-14.742164,-9.802356,1.434502,1.399884,8.750885,-7.468455,0.56245,4.551756,-0.59026,-3.059551,-9.575144,-7.463088,4.495928,3.113373,1.446359,1
4,'2022/08/22 14:02:40:004',1,-81.057846,59.748032,23.490763,7.245255,-11.944381,24.761269,-6.672456,-10.792439,7.303512,-11.867139,-3.331813,-17.600008,-16.761219,0.721673,0.983512,8.899237,-8.776615,-0.468476,3.581949,-0.910871,2.812972,-4.026379,-6.893661,3.934817,-2.925639,0.402785,1
5,'2022/08/22 14:02:40:039',1,-81.017769,63.783997,26.411079,3.348409,-12.584491,13.202525,-9.275157,-0.318344,9.334586,-7.556934,-6.502433,-15.454238,-11.7507,-7.910746,0.785226,12.202726,-1.792005,4.442523,4.1255,-0.34771,-1.417632,-6.990854,-1.867521,5.506112,1.536284,-2.288013,1
6,'2022/08/22 14:02:40:040',1,-81.017769,63.783997,26.411079,3.348409,-12.584491,13.202525,-9.275157,-0.318344,9.334586,-7.556934,-6.502433,-15.454238,-11.7507,-7.910746,0.785226,12.202726,-1.792005,4.442523,4.1255,-0.34771,-1.417632,-6.990854,-1.867521,5.506112,1.536284,-2.288013,1
7,'2022/08/22 14:02:40:040',1,-81.017769,63.783997,26.411079,3.348409,-12.584491,13.202525,-9.275157,-0.318344,9.334586,-7.556934,-6.502433,-15.454238,-11.7507,-7.910746,0.785226,12.202726,-1.792005,4.442523,4.1255,-0.34771,-1.417632,-6.990854,-1.867521,5.506112,1.536284,-2.288013,1
8,'2022/08/22 14:02:40:062',1,-80.125854,64.136124,33.191803,12.07185,-12.341653,9.501023,-11.027063,4.13604,13.106246,-17.648066,-13.276319,-15.945187,-13.194077,-4.623394,-5.339495,10.864766,0.070901,3.915644,6.238393,-3.521583,-2.228775,-5.964435,-2.480356,6.417939,-4.33634,1.291094,1
9,'2022/08/22 14:02:40:073',1,-73.941071,59.259407,31.979557,9.134248,-22.345251,9.756186,-12.365393,-0.971731,20.278816,-9.560515,-5.758003,-18.972256,-17.267,2.352949,0.085656,10.599508,-3.358287,5.179239,6.254737,-2.476349,-0.418155,-12.514703,-3.250503,3.468027,-2.403924,1.659806,1
10,'2022/08/22 14:02:40:073',1,-73.941071,59.259407,31.979557,9.134248,-22.345251,9.756186,-12.365393,-0.971731,20.278816,-9.560515,-5.758003,-18.972256,-17.267,2.352949,0.085656,10.599508,-3.358287,5.179239,6.254737,-2.476349,-0.418155,-12.514703,-3.250503,3.468027,-2.403924,1.659806,1
11,'2022/08/22 14:02:40:074',1,-73.941071,59.259407,31.979557,9.134248,-22.345251,9.756186,-12.365393,-0.971731,20.278816,-9.560515,-5.758003,-18.972256,-17.267,2.352949,0.085656,10.599508,-3.358287,5.179239,6.254737,-2.476349,-0.418155,-12.514703,-3.250503,3.468027,-2.403924,1.659806,1
12,'2022/08/22 14:02:40:085',1,-73.941071,59.259407,31.979557,9.134248,-22.345251,9.756186,-12.365393,-0.971731,20.278816,-9.560515,-5.758003,-18.972256,-17.267,2.352949,0.085656,10.599508,-3.358287,5.179239,6.254737,-2.476349,-0.418155,-12.514703,-3.250503,3.468027,-2.403924,1.659806,1
13,'2022/08/22 14:02:40:085',1,-73.941071,59.259407,31.979557,9.134248,-22.345251,9.756186,-12.365393,-0.971731,20.278816,-9.560515,-5.758003,-18.972256,-17.267,2.352949,0.085656,10.599508,-3.358287,5.179239,6.254737,-2.476349,-0.418155,-12.514703,-3.250503,3.468027,-2.403924,1.659806,1
14,'2022/08/22 14:02:40:086',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
15,'2022/08/22 14:02:40:086',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
16,'2022/08/22 14:02:40:086',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
17,'2022/08/22 14:02:40:087',1,-61.414055,63.87801,32.115105,9.933517,-25.388918,13.734922,-11.8879,-10.454099,19.349354,-9.177602,-3.974818,-19.387081,-17.670145,0.017376,1.350875,10.695303,-6.947665,4.596797,4.039351,-2.71256,-2.182607,-13.156815,-2.491166,4.542048,-2.641751,1.400257,1
